official_scenic_id,scenic_name,theme_name_cn,is_satisfaction_topic,theme_review_n,theme_issue_n,theme_high_rating_issue_n,theme_negative_n,theme_avg_sentiment_score,theme_avg_topic_prob,sample_n,priority_score,priority_rank,theme_review_share_total,theme_issue_share_total,theme_high_rating_issue_share_total,theme_negative_share_total,theme_issue_rate_within_theme,theme_negative_rate_within_theme,theme_problem_strength
BJ20_03,天坛公园,现场服务与导览体验,0,40,1,1,0,0.8818621479364618,0.752114369323693,300,0.669722760376873,4,0.13333333333333333,0.0033333333333333335,0.0033333333333333335,0.0,0.025,0.0,0.0033333333333333335
BJ20_03,天坛公园,票务预约与入园体验,0,120,31,18,54,0.42838765049993827,0.6687930732544306,300,0.669722760376873,4,0.4,0.10333333333333333,0.06,0.18,0.25833333333333336,0.45,0.10333333333333333
BJ20_03,天坛公园,整体满意与感知评价,1,75,21,17,11,0.7344582086158815,0.6691535473038179,300,0.669722760376873,4,0.25,0.07,0.056666666666666664,0.03666666666666667,0.28,0.14666666666666667,0.07
BJ20_15,中国科学技术馆,交通与开放空间体验,0,10,2,0,2,0.7276081780172448,0.6446015787388808,300,0.5904719404943588,5,0.03333333333333333,0.006666666666666667,0.0,0.006666666666666667,0.2,0.2,0.006666666666666667
BJ20_15,中国科学技术馆,现场服务与导览体验,0,193,26,11,37,0.7006776955835586,0.7553973840823955,300,0.5904719404943588,5,0.6433333333333333,0.08666666666666667,0.03666666666666667,0.12333333333333334,0.13471502590673576,0.19170984455958548,0.08666666666666667
BJ20_15,中国科学技术馆,票务预约与入园体验,0,40,22,5,27,0.2602756107608938,0.5579180355140206,300,0.5904719404943588,5,0.13333333333333333,0.07333333333333333,0.016666666666666666,0.09,0.55,0.675,0.07333333333333333
BJ20_15,中国科学技术馆,整体满意与感知评价,1,29,9,3,14,0.4367095531243087,0.6633318837352161,300,0.5904719404943588,5,0.09666666666666666,0.03,0.01,0.04666666666666667,0.3103448275862069,0.4827586206896552,0.03
BJ20_20,奥林匹克塔,交通与开放空间体验,0,90,4,2,4,0.905614804662308,0.7469740907501043,300,0.5774219811442663,6,0.3,0.013333333333333334,0.006666666666666667,0.013333333333333334,0.044444444444444446,0.044444444444444446,0.013333333333333334
BJ20_20,奥林匹克塔,现场服务与导览体验,0,10,1,0,2,0.7357027754028334,0.5851689294908428,300,0.5774219811442663,6,0.03333333333333333,0.0033333333333333335,0.0,0.006666666666666667,0.1,0.2,0.0033333333333333335
BJ20_20,奥林匹克塔,票务预约与入园体验,0,38,18,8,21,0.3377583264048644,0.6164945514789574,300,0.5774219811442663,6,0.12666666666666668,0.06,0.02666666666666667,0.07,0.47368421052631576,0.5526315789473685,0.06
BJ20_20,奥林匹克塔,整体满意与感知评价,1,134,40,20,45,0.5504225680255124,0.7159943656034511,300,0.5774219811442663,6,0.44666666666666666,0.13333333333333333,0.06666666666666667,0.15,0.29850746268656714,0.3358208955223881,0.13333333333333333
BJ20_06,明十三陵,交通与开放空间体验,0,16,2,1,5,0.6155886168992237,0.593374320714539,300,0.5624100961997208,7,0.05333333333333334,0.006666666666666667,0.0033333333333333335,0.016666666666666666,0.125,0.3125,0.006666666666666667
BJ20_06,明十三陵,现场服务与导览体验,0,33,5,4,5,0.6648599097060202,0.5950294682264959,300,0.5624100961997208,7,0.11,0.016666666666666666,0.013333333333333334,0.016666666666666666,0.15151515151515152,0.15151515151515152,0.016666666666666666
BJ20_06,明十三陵,票务预约与入园体验,0,169,41,23,66,0.5035957376942516,0.6458945900345764,300,0.5624100961997208,7,0.5633333333333334,0.13666666666666666,0.07666666666666666,0.22,0.24260355029585798,0.3905325443786982,0.13666666666666666
BJ20_06,明十三陵,整体满意与感知评价,1,41,9,5,15,0.5421236865182543,0.6314122071731657,300,0.5624100961997208,7,0.13666666666666666,0.03,0.016666666666666666,0.05,0.21951219512195122,0.36585365853658536,0.03
BJ20_14,北京天文馆,交通与开放空间体验,0,12,1,0,1,0.8765544302270079,0.6255192751437981,300,0.5505443682582035,8,0.04,0.0033333333333333335,0.0,0.0033333333333333335,0.08333333333333333,0.08333333333333333,0.0033333333333333335
BJ20_14,北京天文馆,现场服务与导览体验,0,182,28,13,37,0.6726044089956695,0.7298519795661106,300,0.5505443682582035,8,0.6066666666666667,0.09333333333333334,0.043333333333333335,0.12333333333333334,0.15384615384615385,0.2032967032967033,0.09333333333333334
BJ20_14,北京天文馆,票务预约与入园体验,0,44,29,8,38,0.12444907354742588,0.5755758077124841,300,0.5505443682582035,8,0.14666666666666667,0.09666666666666666,0.02666666666666667,0.12666666666666668,0.6590909090909091,0.8636363636363636,0.09666666666666666
BJ20_14,北京天文馆,整体满意与感知评价,1,27,6,1,13,0.4278586762560627,0.6509433704115833,300,0.5505443682582035,8,0.09,0.02,0.0033333333333333335,0.043333333333333335,0.2222222222222222,0.48148148148148145,0.02
BJ20_10,司马台长城,交通与开放空间体验,0,21,1,1,0,0.8986689211564745,0.5729004225558215,300,0.47780273548173924,9,0.07,0.0033333333333333335,0.0033333333333333335,0.0,0.047619047619047616,0.0,0.0033333333333333335
