official_scenic_id,scenic_name,category_name,element_uid,element_type,element_id,poi_name,poi_detail_type,poi_categories,poi_lat,poi_lng,distance_m,raw_tags_json,poi_zone
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_1691755048,node,1691755048,官园批发市场,commercial,commercial,39.930559,116.3460207,1410.21,"{""amenity"": ""marketplace"", ""name"": ""官园批发市场""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_9702596333,node,9702596333,西直门公交场站,bus,transport,39.936664,116.3473861,1410.92,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""西直门公交场站"", ""name:zh"": ""西直门公交场站"", ""public_transport"": ""platform""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_10117765185,node,10117765185,甘家口北,bus,transport,39.9231039,116.3284698,1413.18,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""甘家口北"", ""name:zh"": ""甘家口北"", ""public_transport"": ""platform""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_10830053002,node,10830053002,西少爷,food_retail,food_retail,39.9396099,116.3466606,1414.08,"{""addr:place"": ""北京市西城区西直门外大街1号-1层西区商业B1-08"", ""amenity"": ""fast_food"", ""level"": ""-1"", ""name"": ""西少爷"", ""opening_hours"": ""Mo-Su 08:00-21:30"", ""takeaway"": ""yes""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_1721637808,node,1721637808,甘家口北,transport,transport,39.9231015,116.328404,1414.27,"{""bus"": ""yes"", ""name"": ""甘家口北"", ""name:zh"": ""甘家口北"", ""public_transport"": ""stop_position""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_9359995250,node,9359995250,车公庄西,bus,transport,39.931135,116.346395,1415.37,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""车公庄西"", ""name:zh"": ""车公庄西"", ""public_transport"": ""platform""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_2109360180,node,2109360180,西直门公交场站,transport,transport,39.9364693,116.3474584,1415.55,"{""bus"": ""yes"", ""name"": ""西直门公交场站"", ""name:zh"": ""西直门公交场站"", ""public_transport"": ""stop_position""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_2109360181,node,2109360181,西直门公交场站,transport,transport,39.9366742,116.3474572,1417.05,"{""bus"": ""yes"", ""name"": ""西直门公交场站"", ""name:zh"": ""西直门公交场站"", ""public_transport"": ""stop_position""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_1415627444,node,1415627444,车公庄西,transport,transport,39.9310638,116.3463898,1417.8,"{""bus"": ""yes"", ""name"": ""车公庄西"", ""name:zh"": ""车公庄西"", ""public_transport"": ""stop_position""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_4217498064,node,4217498064,,lodging,lodging,39.9469296,116.338845,1423.31,"{""tourism"": ""hotel""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_11821221326,node,11821221326,,subway,transport,39.9230532,116.3280542,1424.33,"{""railway"": ""subway_entrance""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_7551536501,node,7551536501,绿茶,food_retail,food_retail,39.9402564,116.346515,1426.33,"{""amenity"": ""restaurant"", ""name"": ""绿茶""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,way_1205710519,way,1205710519,,parking,parking,39.9481238,116.3349338,1426.37,"{""amenity"": ""parking""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_9999295553,node,9999295553,高梁桥,bus,transport,39.9441315,116.343568,1432.65,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""高梁桥"", ""name:zh"": ""高梁桥"", ""public_transport"": ""platform""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_2286373932,node,2286373932,高梁桥,transport,transport,39.9441365,116.343691,1440.94,"{""bus"": ""yes"", ""name"": ""高梁桥"", ""name:zh"": ""高梁桥"", ""public_transport"": ""stop_position""}",external
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,node_2363154568,node,2363154568,展览路口北,transport,transport,39.9239958,116.3382063,1441.01,"{""bus"": ""yes"", ""name"": ""展览路口北"", ""name:zh"": ""展览路口北"", ""name:zh-Hans"": ""展览路口北"", ""name:zh-Hant"": ""展覽路口北"", ""public_transport"": ""stop_position""}",external
