experiment_name,slot_rank,scenic_name,rating_bucket,available_in_bucket_after_lda_filter_n,sample_quota_n,sample_actual_n
experiment2_lda_ready,12,红螺寺,1,11,3,3
experiment2_lda_ready,12,红螺寺,2,3,1,1
experiment2_lda_ready,12,红螺寺,3,16,4,4
experiment2_lda_ready,12,红螺寺,4,148,43,43
experiment2_lda_ready,12,红螺寺,5,863,249,249
experiment2_lda_ready,13,首都博物馆,1,6,5,5
experiment2_lda_ready,13,首都博物馆,2,1,1,1
experiment2_lda_ready,13,首都博物馆,3,6,4,4
experiment2_lda_ready,13,首都博物馆,4,35,27,27
experiment2_lda_ready,13,首都博物馆,5,343,263,263
experiment2_lda_ready,14,北京天文馆,1,58,27,27
experiment2_lda_ready,14,北京天文馆,2,13,6,6
experiment2_lda_ready,14,北京天文馆,3,34,16,16
experiment2_lda_ready,14,北京天文馆,4,73,34,34
experiment2_lda_ready,14,北京天文馆,5,463,217,217
experiment2_lda_ready,15,中国科学技术馆,1,150,26,26
experiment2_lda_ready,15,中国科学技术馆,2,41,7,7
experiment2_lda_ready,15,中国科学技术馆,3,83,15,15
experiment2_lda_ready,15,中国科学技术馆,4,117,21,21
experiment2_lda_ready,15,中国科学技术馆,5,1305,231,231
experiment2_lda_ready,16,香山公园,1,17,3,3
experiment2_lda_ready,16,香山公园,2,10,2,2
experiment2_lda_ready,16,香山公园,3,66,14,14
experiment2_lda_ready,16,香山公园,4,169,35,35
experiment2_lda_ready,16,香山公园,5,1192,246,246
experiment2_lda_ready,17,北京动物园,1,55,13,13
experiment2_lda_ready,17,北京动物园,2,40,10,10
experiment2_lda_ready,17,北京动物园,3,112,26,26
experiment2_lda_ready,17,北京动物园,4,209,49,49
experiment2_lda_ready,17,北京动物园,5,860,202,202
experiment2_lda_ready,18,玉渊潭公园,1,6,3,3
experiment2_lda_ready,18,玉渊潭公园,2,1,1,1
experiment2_lda_ready,18,玉渊潭公园,3,17,8,8
experiment2_lda_ready,18,玉渊潭公园,4,98,49,49
experiment2_lda_ready,18,玉渊潭公园,5,484,239,239
experiment2_lda_ready,19,国家游泳中心,1,32,21,21
experiment2_lda_ready,19,国家游泳中心,2,8,5,5
experiment2_lda_ready,19,国家游泳中心,3,32,21,21
experiment2_lda_ready,19,国家游泳中心,4,76,51,51
experiment2_lda_ready,19,国家游泳中心,5,304,202,202
experiment2_lda_ready,20,奥林匹克塔,1,13,11,11
experiment2_lda_ready,20,奥林匹克塔,2,6,5,5
experiment2_lda_ready,20,奥林匹克塔,3,30,26,26
experiment2_lda_ready,20,奥林匹克塔,4,65,56,56
experiment2_lda_ready,20,奥林匹克塔,5,234,202,202
